Thickness_mm,Absorption,Attenuation,A,B,Sigma1_mm,Sigma2_mm
0,1.000000000000000,0.000000000000000,0.00000000100000000000,0.00000000100000000000,0.000000001000000,0.000000001000000
1,0.900425761000000,0.104887559741332,0.00000025342490219759,0.00000003761093029987,0.877741115663369,8.851474492872200
3,0.818655488000000,0.200091933199567,0.00000019028817262186,0.00000005429869768209,1.148674670868770,10.124084578935500
5,0.745927072000000,0.293127442270207,0.00000011765369800015,0.00000006366137867352,2.058675430472270,11.273501547917700
7,0.680960643000000,0.384250767454243,0.00000009622723472684,0.00000006348710235039,3.462131105184380,12.924393839533600
10,0.595868204000000,0.517735770598754,0.00000010515701158864,0.00000006782845194371,4.416044238018320,14.330110397459900
20,0.390393405000000,0.940600317516214,0.00000014797080258920,0.00000008287026037035,5.451377266234740,16.468856205443300
30,0.262289517000000,1.338306358596100,0.00000017901115769627,0.00000009346115388500,5.753976353222790,17.359543633194300
40,0.179447338000000,1.717873495714210,0.00000019949014372699,0.00000010046862586277,5.887747081601150,17.837733526101600
50,0.124462945000000,2.083747237900220,0.00000021245023947902,0.00000010508586668760,5.961601010768890,18.120458810683300
60,0.087277452000000,2.438663131284010,0.00000022021595502834,0.00000010802562233312,6.010634140459460,18.306210102379200
100,0.022753542000000,3.783034453396270,0.00000224376303346895,0.00000111090907675468,6.146583185428050,18.684811563154500
150,0.004715178000000,5.356968611753520,0.00000208553521555564,0.00000107743481968970,6.324364149840270,18.962802216671900

